,name,description,activity,status,tag
0,Еда & Кофе,"Если Вы любите вкусный кофе, авторский чай или горячий шоколад и  свежую выпечку - заходите к нам, у нас вкусно!
А так же вступайте в нашу группу - будет интересно!

Наш инстраграм:
https://www.instagram.com/kofeedaugli/
@kofeedaugli",Coffee Shop,,food
1,ДЕВОЧКИ И КОСМЕТИКА,"Душой в Сефоре, телом в Фикспрайсе",Personal care,ТВОЯ ЛЮБОВЬ🖤,cosmetics
2,Poizon Shop,"Товары из Poizon в наличии и под заказ.
С нами ваши любимые вещи можно купить дешевле на 40-60%. Возможность оплатить только половину при заказе, а остаток при получении.

Телеграм канал (100 000+ подписчиков): t.me/+jP1uILESa784ZjQ6

Приложение Unicorn
t.me/unicorn_go_bot/?start=vk

Сайт с товарами в наличии: 
www.poizonshop.ru

Сайт с товарами под заказ:
next.poizonshop.ru

Отзывы о нас: 
t.me/poizon_review

Чат-сообщество 
t.me/chat_poizonshop

Быстрая доставка из-за границы ~14-17 дней

Тысячи довольных клиентов

Гарантия оригинальности и качества товара

Магазин-шоурум в Москве (м.Ростокино)

Для оформления заказа пиши в сообщениях группы!","Clothing, shoes",Доставка любых вещей с POIZON 🔥,clothes
3,Сеть кинотеатров КАРО,"КАРО — это 31 кинотеатр нового поколения в Москве, Московской области, Санкт-Петербурге, Новосибирске, Калининграде, Екатеринбурге, Тюмени и Сургуте, которые ежегодно посещают более 12 млн. человек. 
Мы запустили программу лояльности #КАРОНА. Присоединяйся, получай кэшбек до 15% в виде баллов с каждой покупки и обменивай их на билеты в кино, попкорн и киносувениры: https://cabinet.karofilm.ru/
t.me/karocinema",Movie theater,Объединяем киноманов по всей России! 🍿,events
4,808.media,"Гаджеты, электромобили, технологии и не только

Мы в Telegram: t.me/rbtshki

По вопросам рекламы и сотрудничества на YouTube: hello@808.media","Technology, electronics",Обзоры для ребятушек,tech
5,TRUE GAMERS l Железнодорожныйl Компьютерный клуб,"TRUE GAMERS - кибер-арена, из которой тебе НЕ ЗАХОЧЕТСЯ уходить! Наш телефон: +7 (901) 183-79-83 

У нас вы найдете:

Несколько зон с мощнейшими компами (буткэмп видео 4060, 3080, мониторы 360Hz, 2K 240Hz, 25'', 27'', 32'')
Топовые девайсы
Геймерская зона PS c сочными телевизорами
Кресла от DxRacer 

Ждём тебя 24/7",Esports organization,"Мы открыты, работаем 24/7! 🔥",games
6,Мироходец | Мерч Лололошки,"Магазин: mirohodec.ru

Здравствуй, Дорогой гость. Добро пожаловать в магазин, посвященный мерчу Лололошки :)

Здесь вы найдёте все товары с дизайном, связанные с каналом: Футболки, Маски, Кофты, Носки, Кружки и многое другое.",Other goods,Мы открылись!,merch
7,Курс по итоговому сочинению,"Чтобы начать, пиши «ТУРБОСТАРТ» в лс группы",Education,"Чтобы начать, пиши «ТУРБОСТАРТ» в лс группы",trash
8,Еда,"«Еда» — мини-приложение для заказа продуктов и готовых блюд. За доставку ваших здоровых завтраков, сытных обедов, изысканных ужинов и вкуснейших перекусов отвечают наши давние друзья из Delivery Club. 

Заказывайте любимую еду прямо ВКонтакте. Открывайте мини-приложение, выбирайте любой из 30 000 ресторанов — а мы приготовим для вас лучшие акции, специальные предложения и подскажем, когда начинаются счастливые часы!",Food Delivery,Заказывайте любимую еду прямо ВКонтакте,food
9,САДОВОД КОСМЕТИКА,"Садовод  6-линия 68 павильон  
+7 995 941-76-77
+7 926 860-43-10 Миша","Perfume, Cosmetics",Садовод 6 линия 68 павильон https://vk.com/id520736645,cosmetics
10,POIZON,"Приветствуем на канале POIZON

❗️Актуальный курс: 13❗️

Многие столкнулись с проблемой покупки вещей в России, поэтому мы хотим предложить вам свои услуги по доставки с таких маркетплейсов как POIZON / Taobao / 1688 / 95 / StockX /asos / Yoox / Itk и многое другое (по доставке с интересующего вас магазина писать в личные сообщения группы)

Что такое POIZON?

Poizon - это китайский маркетплейс, альтернативой, которого является StockX, все товары оригинальные и полностью соответствуют ожиданиям, и нормам качества, перед отправкой проходят Legit check (проверка подлинности товара), и после отправляются к вам в руки

Почему вам стоит заказать именно у нас?

✅ Самые низкие цены на рынке

✅ 1000+ положительных отзывов о работе сервиса, что вызывает доверие

✅ Доставка по всему миру

✅ 100% гарантия оригинальности товара

✅ Уже больше года в этой сфере, поэтому все риски сведены к минимуму

(Возврат средств предусмотрен только при утере посылки)","Clothing, shoes",Быстро и качественно,clothes
11,КАРО.Арт,"Классика кинематографа и культовые фильмы, фестивальные показы и ретроспективы великих мастеров, лекции ведущих кинокритиков и дискуссии с профессионалами индустрии.",Movie theater,кино как искусство,events
12,Высокие технологии // Trashbox.ru,"Главные новости, мемы про технологии, гиковские штуки и всё самое интересное из мира IT",Mobile technology,Высокие и не очень,tech
